English,Japanese,Example,Translation
efficient,効率的な,LED bulbs are much more efficient than older light bulbs.,LED電球は古い電球よりもはるかに効率的だ。
conventional,従来の、慣習的な,Conventional medicine is often combined with new therapies.,従来の医学は、しばしば新しい治療法と組み合わされる。
disadvantage,不利な点、デメリット,A major disadvantage of this hotel is its noisy location.,このホテルの大きなデメリットは、騒がしい場所にあることだ。
deficient,不足した、不完全な,The report was deficient in several key areas.,その報告書は、いくつかの主要な領域において不完全（不足）だった。
definite,明確な、確定した,Scientists have found definite proof of water on the planet.,科学者たちは、その惑星に水が存在するという明確な証拠を見つけた。
strengthen,強くする、強化する,These exercises are designed to strengthen your muscles.,これらのエクササイズは、筋肉を強化するために設計されている。
creative,創造的な,Working in a garden is a great creative outlet for her.,庭仕事は、彼女にとって素晴らしい創造的な表現の場だ。
simultaneously,同時に,The game will be broadcast simultaneously on TV and radio.,その試合はテレビとラジオで同時に放送される予定だ。
constantly,絶えず、常に,Our tastes in music and fashion change constantly.,音楽やファッションの好みは絶えず変化している。
occasional,時折の、たまの,He enjoys an occasional game of golf on the weekends.,彼は週末にたまにゴルフをするのを楽しんでいる。
podcast,ポッドキャスト,I downloaded a new podcast about history to listen to on the train.,電車で聴くために、歴史に関する新しいポッドキャストをダウンロードした。
rewarding,やりがいのある,Volunteering at the animal shelter is a very rewarding experience.,動物保護施設でのボランティア活動は、非常にやりがいのある経験だ。
