Languages also differ in how they describe events.,言語はまた、いかにそれらが出来事を描写するかにおいて異なる
Take an event like an accident.,偶然の事故のような出来事を取り上げよう
"In English,",英語では
"it’s fine to say,",言ってよい
“She broke the vase.”,「彼女が花瓶を壊した」と
"In Spanish,",スペイン語では
you wouldn’t say that someone did it;,あなたは誰かがそれをしたと言わないだろう
"rather, you’d say,",むしろ、あなたは言うだろう
"“The vase broke,”",「花瓶が壊れた」
or “The vase broke itself.”,または「花瓶が自分を壊した」と
"Again,",繰り返しになるが
this has consequences.,これは結果をもたらす
"English speakers will remember who did it,",英語話者は誰がそれをしたかを覚えているだろう
because English requires you to specify the actor.,なぜなら英語はあなたに行為者を特定するように要求するから
"In contrast,",対照的に
Spanish speakers,スペイン語話者は
"might be less likely to remember who did it,",誰がそれをしたかを覚えている可能性がより低いかもしれない
because there’s no such requirement.,なぜならそのような要求がないから
"So far,",これまでのところ
I’ve given you a few examples,私はあなたにいくつかの例を示してきた
"of how language can shape the way we think,",いかに言語が私たちの考え方に影響を与えるかを
and how it does so in a variety of ways.,そしていかにさまざまな方法で言語がそれをするかを
"Now,",さて
the beauty of linguistic diversity,言語の多様性の長所は
is that it reveals to us,それが明らかにすることだ
just how ingenious and flexible the human mind is.,まさに人間の思考がいかにうまくできていて柔軟であるかを
"We have invented not one cognitive universe,",私たちは発明した、1つの認知世界ではなく
"but 7,000","7,000 （の認知世界）を"
"—there are 7,000 languages in the world.","世界には7,000の言語がある"
The tragic thing,悲しむべきことは
is that we’re losing so much of this linguistic diversity.,私たちがこの言語の多様性の非常に多くを失っていることである
"By some estimates,",いくつかの推定によると
half of the world’s languages,世界の言語の半分は
will be gone in the next hundred years.,次の百年で失われるだろう
I want to leave you with a final thought.,私は最終的な考えをあなたに残したい
I’ve told you,私はあなたに話した
"about how speakers of different languages think differently,",異なる言語の話者がいかに異なる方法で考えるかについて
and how the language that you speak,そしてあなたが話す言語がいかに
shapes the way you think.,あなたの考え方に影響を与えるかを
"This gives you the opportunity to ask,",これはあなたに尋ねる機会を与える
“Why do I think the way I do?”,「なぜ私は私が考えるやり方で考えるのか」と
“How could I think differently?”,私はどうしたら異なる方法で考えられるのか
“What thoughts do I wish to create?”,私はどんな考えを創造したいのか
Thank you very much.,どうもありがとうございました
